airport,month,day,wind_spd
JFK,7,13,3.6
EWR,8,2,3.9
JFK,8,14,7.3
JFK,6,11,7.2
LGA,8,21,2.4
JFK,5,12,8.0
LGA,7,4,4.7
EWR,7,12,5.3
JFK,7,26,4.8
LGA,9,20,3.3
LGA,6,4,5.3
JFK,6,17,4.1
JFK,7,15,3.2
EWR,9,27,3.7
JFK,7,6,4.8
EWR,8,12,1.6
LGA,8,17,2.6
JFK,6,26,5.0
JFK,8,11,3.7
EWR,8,16,2.0
LGA,9,9,3.8
JFK,5,19,4.9
LGA,5,17,3.8
JFK,7,19,5.2
EWR,6,18,2.6
EWR,7,21,2.5
JFK,8,24,4.2
LGA,7,24,4.4
JFK,8,1,4.4
LGA,5,25,9.1
JFK,5,26,8.3
LGA,6,5,3.2
JFK,8,3,5.1
EWR,7,6,4.9
EWR,8,20,2.7
EWR,5,17,4.3
JFK,5,21,4.0
EWR,9,29,2.1
LGA,9,30,2.5
JFK,4,28,3.7
LGA,7,6,4.5
EWR,9,16,3.8
JFK,5,4,3.9
LGA,7,15,3.8
LGA,8,8,4.3
LGA,4,25,5.6
EWR,5,15,3.6
LGA,8,6,3.9
LGA,8,15,3.4
LGA,8,25,3.1
EWR,8,28,1.7
LGA,7,31,3.4
LGA,5,3,4.8
EWR,5,27,3.7
LGA,5,13,6.4
JFK,7,11,3.2
JFK,7,17,3.2
EWR,8,17,2.4
JFK,9,4,5.9
JFK,6,23,4.9
JFK,8,21,3.8
LGA,9,2,2.5
EWR,5,20,2.9
JFK,7,3,4.4
JFK,8,27,5.3
EWR,8,31,4.7
EWR,9,8,5.7
JFK,5,14,5.2
EWR,6,20,3.4
EWR,6,27,3.2
LGA,8,2,4.0
LGA,8,14,6.9
JFK,9,2,2.9
JFK,9,6,3.5
EWR,8,25,3.0
LGA,7,10,4.8
JFK,7,29,3.8
LGA,9,23,5.3
LGA,8,31,4.7
JFK,9,21,5.1
JFK,7,18,4.1
JFK,9,25,3.1
JFK,6,21,5.0
LGA,5,29,2.9
LGA,6,7,6.5
LGA,6,16,4.2
EWR,6,19,4.5
JFK,6,25,4.9
EWR,7,2,3.9
JFK,8,13,2.6
EWR,9,22,5.3
LGA,6,15,3.7
JFK,9,7,5.2
EWR,5,25,8.2
JFK,6,29,5.3
LGA,7,17,2.7
LGA,7,3,4.3
EWR,8,7,3.4
LGA,8,1,3.7
JFK,8,29,3.8
LGA,7,7,4.8
JFK,4,25,7.0
LGA,6,2,5.2
EWR,6,14,5.4
EWR,7,1,2.9
LGA,9,19,2.7
JFK,5,20,2.8
JFK,5,27,5.0
LGA,6,30,4.1
LGA,9,5,4.7
LGA,8,5,3.9
JFK,8,22,3.3
LGA,9,4,5.2
JFK,5,2,2.7
EWR,9,15,2.6
LGA,6,8,4.3
EWR,7,5,4.7
EWR,8,18,2.2
JFK,9,19,4.7
LGA,5,22,3.6
JFK,5,28,2.5
LGA,4,30,4.0
EWR,9,3,3.5
LGA,5,4,4.0
JFK,5,8,4.5
EWR,5,12,6.8
LGA,5,26,7.8
EWR,5,29,2.9
EWR,8,19,3.2
EWR,6,5,3.6
LGA,6,27,4.1
LGA,7,20,5.5
EWR,4,23,5.3
LGA,5,24,5.5
JFK,7,20,6.3
